Pin: U\n	{"Pref"={"Pin"="U"}}
Explanation: YE\n\n# \n\nExplanation: \n\n# \n	{"Pref"={"Explanation"="YE"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"=""}}
# \n	{"Pref"={"#comment"=""}}
Package: 3k+=CG1wccFsKv/9\n	{"Pref"={"Package"="3k+=CG1wccFsKv/9"}}
# \n\nPackage: *\n\nPin-Priority: 1\n\nPin-Priority: 5\n\nPin-Priority: 46\n\nPackage: *\n\nPin-Priority: 0\n\nPin: \n\n# \n\nPackage: \n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Pin-Priority"="5"}}{"Pref"={"Pin-Priority"="46"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}{"Pref"={"Package"=""}}
# 9\n	{"Pref"={"#comment"="9"}}
Package: wdF\n	{"Pref"={"Package"="wdF"}}
Package: \n\nPin-Priority: 8\n\nExplanation: \n	{"Pref"={"Package"=""}}{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Explanation"=""}}
Explanation: Obq 2Mn\n\nExplanation: +VV\n\nExplanation: \n\nPin: \n	{"Pref"={"Explanation"="Obq 2Mn"}}{"Pref"={"Explanation"="+VV"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}
Pin: V.\n\n# t\n\n# \n\nPin: T\n	{"Pref"={"Pin"="V."}}{"Pref"={"#comment"="t"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"="T"}}
Package: :M\n	{"Pref"={"Package"=":M"}}
Package: i\n\nPin-Priority: 46\n\nPin: \n	{"Pref"={"Package"="i"}}{"Pref"={"Pin-Priority"="46"}}{"Pref"={"Pin"=""}}
Pin-Priority: 8679\n\nPin-Priority: 017\n\n# H1Utgd1p \n\nExplanation: B8s\n	{"Pref"={"Pin-Priority"="8679"}}{"Pref"={"Pin-Priority"="017"}}{"Pref"={"#comment"="H1Utgd1p "}}{"Pref"={"Explanation"="B8s"}}
Pin: ba\n\nPin-Priority: 76\n	{"Pref"={"Pin"="ba"}}{"Pref"={"Pin-Priority"="76"}}
# JQ\n\nPin: 4m\n	{"Pref"={"#comment"="JQ"}}{"Pref"={"Pin"="4m"}}
Explanation: "\n\nPin-Priority: 93905\n	{"Pref"={"Explanation"="""}}{"Pref"={"Pin-Priority"="93905"}}
# \n\n# \n	{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}
Pin: L\n	{"Pref"={"Pin"="L"}}
Explanation: Gc\n	{"Pref"={"Explanation"="Gc"}}
Pin-Priority: 1\n\n# S.k6\n	{"Pref"={"Pin-Priority"="1"}}{"Pref"={"#comment"="S.k6"}}
Explanation: +CQ\n	{"Pref"={"Explanation"="+CQ"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: \n	{"Pref"={"Pin"=""}}
# \n\n# \n	{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: \n\nPin-Priority: 6\n\n# R38Yk\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="6"}}{"Pref"={"#comment"="R38Yk"}}
Package: *\n\nExplanation: \n\nPin-Priority: 9\n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="9"}}
Pin-Priority: 2\n\nExplanation: \n\nPin: \n\n# _\n\nExplanation: 9\n	{"Pref"={"Pin-Priority"="2"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"="_"}}{"Pref"={"Explanation"="9"}}
Explanation: HFCX\n\nPackage: \n\nPin: h\n\nPin: \n\nPackage: E\n	{"Pref"={"Explanation"="HFCX"}}{"Pref"={"Package"=""}}{"Pref"={"Pin"="h"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="E"}}
Explanation: d'\n\nExplanation: Qy=\n\n# U.UC\n	{"Pref"={"Explanation"="d'"}}{"Pref"={"Explanation"="Qy="}}{"Pref"={"#comment"="U.UC"}}
Pin-Priority: 33\n	{"Pref"={"Pin-Priority"="33"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: \n	{"Pref"={"Pin"=""}}
Package: \n\nPackage: oOU\n	{"Pref"={"Package"=""}}{"Pref"={"Package"="oOU"}}
Package: z\n	{"Pref"={"Package"="z"}}
Package: *\n\n# YG\n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"="YG"}}
Package: ZL\n\nPackage: *\n\n# 5\n	{"Pref"={"Package"="ZL"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"="5"}}
Explanation: t\n\nPackage: *\n\n# b\n	{"Pref"={"Explanation"="t"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"="b"}}
Package: \n\nExplanation: \n\nPackage: *\n\nPackage: FJ+myR\n\nPin: \n	{"Pref"={"Package"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="FJ+myR"}}{"Pref"={"Pin"=""}}
Pin-Priority: 5\n\nExplanation: \n\nPin: \n	{"Pref"={"Pin-Priority"="5"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}
Explanation: \n\nPackage: *\n	{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}
Pin-Priority: 5\n\nPackage: Zb8y bOEr\n\n# /gl\n\nExplanation: r\n	{"Pref"={"Pin-Priority"="5"}}{"Pref"={"Package"="Zb8y bOEr"}}{"Pref"={"#comment"="/gl"}}{"Pref"={"Explanation"="r"}}
Explanation: j\n\n# c\n	{"Pref"={"Explanation"="j"}}{"Pref"={"#comment"="c"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin-Priority: 09\n\nExplanation: SN\n	{"Pref"={"Pin-Priority"="09"}}{"Pref"={"Explanation"="SN"}}
# E=\n	{"Pref"={"#comment"="E="}}
# =_\n\nPackage: *\n\n# \n\nPin: SOdFW\n	{"Pref"={"#comment"="=_"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"="SOdFW"}}
Explanation: AM\n\nPin-Priority: 3\n\nExplanation: RL:rUryl\n\nPackage: *\n	{"Pref"={"Explanation"="AM"}}{"Pref"={"Pin-Priority"="3"}}{"Pref"={"Explanation"="RL:rUryl"}}{"Pref"={"Package"="*"}}
Explanation: \n\nPin: \n\nPin: e\n\nPin: \n\nPackage: *\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"="e"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: *\n	{"Pref"={"Package"="*"}}
# tc\n\nExplanation: aG\n	{"Pref"={"#comment"="tc"}}{"Pref"={"Explanation"="aG"}}
Package: *\n\nPackage: 4\n\nExplanation: jQ-SU:F\n\n#  6U\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="4"}}{"Pref"={"Explanation"="jQ-SU:F"}}{"Pref"={"#comment"=" 6U"}}
# \n\nPin-Priority: 9\n\nPin: r\n\n# r\n\nPackage: *\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="9"}}{"Pref"={"Pin"="r"}}{"Pref"={"#comment"="r"}}{"Pref"={"Package"="*"}}
Package: \n	{"Pref"={"Package"=""}}
Pin: \n\nPin-Priority: 11138\n\n# Sq\n\nExplanation: .\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="11138"}}{"Pref"={"#comment"="Sq"}}{"Pref"={"Explanation"="."}}
Pin-Priority: 45\n\nExplanation: \n	{"Pref"={"Pin-Priority"="45"}}{"Pref"={"Explanation"=""}}
Package: *\n\nPin-Priority: 137\n\nPackage: w\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="137"}}{"Pref"={"Package"="w"}}
# FD_\n\nExplanation: yYL\n\n# \n\nPackage: Z\n\n# i\n	{"Pref"={"#comment"="FD_"}}{"Pref"={"Explanation"="yYL"}}{"Pref"={"#comment"=""}}{"Pref"={"Package"="Z"}}{"Pref"={"#comment"="i"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: f6\n\n# \n	{"Pref"={"Pin"="f6"}}{"Pref"={"#comment"=""}}
Pin-Priority: 665734199\n	{"Pref"={"Pin-Priority"="665734199"}}
Package: 39\n\nExplanation: l\n\nPackage: *\n\n# 5cx\n\nPin-Priority: 3\n	{"Pref"={"Package"="39"}}{"Pref"={"Explanation"="l"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"="5cx"}}{"Pref"={"Pin-Priority"="3"}}
Pin: -u\n	{"Pref"={"Pin"="-u"}}
Pin: 9 \n	{"Pref"={"Pin"="9 "}}
Explanation: C\n\nPin-Priority: 2\n	{"Pref"={"Explanation"="C"}}{"Pref"={"Pin-Priority"="2"}}
# 0g\n\nPin: \n	{"Pref"={"#comment"="0g"}}{"Pref"={"Pin"=""}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin-Priority: 76\n\n# Sgi\n\nPackage: A2Jw\n\nPackage: *\n\nPin-Priority: 1\n\nPin: \n\n# \n	{"Pref"={"Pin-Priority"="76"}}{"Pref"={"#comment"="Sgi"}}{"Pref"={"Package"="A2Jw"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}
Package: Utq\n	{"Pref"={"Package"="Utq"}}
Pin-Priority: 979866737\n	{"Pref"={"Pin-Priority"="979866737"}}
Pin: \n\nPin: PT"\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"="PT""}}
Explanation:  QD\n\nPin: \n	{"Pref"={"Explanation"=" QD"}}{"Pref"={"Pin"=""}}
Pin-Priority: 4\n\nPackage: wZz\n	{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Package"="wZz"}}
Pin-Priority: 8\n\nPackage: *\n\nPackage: *\n\n# \n	{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}
Pin: Q+jGK\n\nPin: Xk\n\nExplanation: W\n	{"Pref"={"Pin"="Q+jGK"}}{"Pref"={"Pin"="Xk"}}{"Pref"={"Explanation"="W"}}
# w\n\nPin-Priority: 9256\n	{"Pref"={"#comment"="w"}}{"Pref"={"Pin-Priority"="9256"}}
Package: *\n\nPin-Priority: 17\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="17"}}
# 3T29Wq\n\n# \n	{"Pref"={"#comment"="3T29Wq"}}{"Pref"={"#comment"=""}}
Pin-Priority: 2053\n\n# jum\n	{"Pref"={"Pin-Priority"="2053"}}{"Pref"={"#comment"="jum"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: Q\n	{"Pref"={"Pin"="Q"}}
# \n\nExplanation: \n\nPin: T5\n\nPackage: *\n\nPin: \n\nPin-Priority: 27\n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="T5"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="27"}}
Pin-Priority: 4\n\nPackage: V\n\nPackage: qN\n	{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Package"="V"}}{"Pref"={"Package"="qN"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: 0mxByJw9\n\n# \n\nPin: =\n	{"Pref"={"Pin"="0mxByJw9"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"="="}}
# \n\nPackage: *\n\nPackage: *\n\n# P=\n\nExplanation: Q\n\nPackage: M\n\nPin: 5\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"="P="}}{"Pref"={"Explanation"="Q"}}{"Pref"={"Package"="M"}}{"Pref"={"Pin"="5"}}
Package: \n	{"Pref"={"Package"=""}}
# Dy\n\nPin-Priority: 091\n\nPin: Z\n\nPackage: *\n\nPackage: *\n\nExplanation: jB8\n\n# L\n\nExplanation: =OfkNGG9\n\nPin-Priority: 64\n\nPin: \n\nPin: 0A\n	{"Pref"={"#comment"="Dy"}}{"Pref"={"Pin-Priority"="091"}}{"Pref"={"Pin"="Z"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="jB8"}}{"Pref"={"#comment"="L"}}{"Pref"={"Explanation"="=OfkNGG9"}}{"Pref"={"Pin-Priority"="64"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"="0A"}}
Explanation: K\n\n# iW\n	{"Pref"={"Explanation"="K"}}{"Pref"={"#comment"="iW"}}
Pin-Priority: 7\n\nPin-Priority: 38\n\nPackage: *\n	{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Pin-Priority"="38"}}{"Pref"={"Package"="*"}}
Pin: 2kKO\n\nPin: \n\n# \n\n# -\n	{"Pref"={"Pin"="2kKO"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="-"}}
# \n\nPin-Priority: 5\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="5"}}
Package: *\n	{"Pref"={"Package"="*"}}
Explanation: 4UL=\n\nExplanation: UL\n\nPin-Priority: 6\n	{"Pref"={"Explanation"="4UL="}}{"Pref"={"Explanation"="UL"}}{"Pref"={"Pin-Priority"="6"}}
Pin: o\n	{"Pref"={"Pin"="o"}}
Pin-Priority: 417\n	{"Pref"={"Pin-Priority"="417"}}
Pin: c.e\n\nPackage: J\n\nPackage: *\n	{"Pref"={"Pin"="c.e"}}{"Pref"={"Package"="J"}}{"Pref"={"Package"="*"}}
# 1\n\nPin: J\n\nPin: X\n\nPackage: MA7\n\nPackage: \n\nExplanation: \n\nPackage: \n	{"Pref"={"#comment"="1"}}{"Pref"={"Pin"="J"}}{"Pref"={"Pin"="X"}}{"Pref"={"Package"="MA7"}}{"Pref"={"Package"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"=""}}
Explanation: 4P\n\nPin-Priority: 29\n\nPin: \n\nPackage: *\n	{"Pref"={"Explanation"="4P"}}{"Pref"={"Pin-Priority"="29"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}
# W\n\nExplanation: \n\nPackage: *\n	{"Pref"={"#comment"="W"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}
# 5\n\nPin-Priority: 89\n\nExplanation: wFu\n\nPin: \n	{"Pref"={"#comment"="5"}}{"Pref"={"Pin-Priority"="89"}}{"Pref"={"Explanation"="wFu"}}{"Pref"={"Pin"=""}}
# \n\nPackage: *\n\nPin-Priority: 5992\n\nPin: +QTp\n\nPackage: *\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="5992"}}{"Pref"={"Pin"="+QTp"}}{"Pref"={"Package"="*"}}
# \n\nPackage: *\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}
Explanation: \n\nPackage: *\n\nExplanation: U\n	{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="U"}}
Package: 1s_\n\nExplanation: FS+Ed+z\n	{"Pref"={"Package"="1s_"}}{"Pref"={"Explanation"="FS+Ed+z"}}
# He \n\nExplanation: \n	{"Pref"={"#comment"="He "}}{"Pref"={"Explanation"=""}}
Pin-Priority: 3880\n\nPin: \n\nExplanation: \n	{"Pref"={"Pin-Priority"="3880"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}
Explanation:  \n\nPin: 5\n\nExplanation: c:pIi''kG\n	{"Pref"={"Explanation"=" "}}{"Pref"={"Pin"="5"}}{"Pref"={"Explanation"="c:pIi''kG"}}
Pin: H\n\n# \n\nPin: \n\n# \n	{"Pref"={"Pin"="H"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}
Pin-Priority: 2810\n	{"Pref"={"Pin-Priority"="2810"}}
Pin: qHs8ZeP\n	{"Pref"={"Pin"="qHs8ZeP"}}
Pin-Priority: 71837\n	{"Pref"={"Pin-Priority"="71837"}}
Pin-Priority: 231\n\n# \n	{"Pref"={"Pin-Priority"="231"}}{"Pref"={"#comment"=""}}
# '\n\nPackage: *\n	{"Pref"={"#comment"="'"}}{"Pref"={"Package"="*"}}
Package: *\n\nPin: b\n\n# \n\nPackage: n11\n\nExplanation: 2KZ2\n\nPackage: \n\nExplanation: I\n\nExplanation: \n\nPackage: =k\n\nPackage: *\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"="b"}}{"Pref"={"#comment"=""}}{"Pref"={"Package"="n11"}}{"Pref"={"Explanation"="2KZ2"}}{"Pref"={"Package"=""}}{"Pref"={"Explanation"="I"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="=k"}}{"Pref"={"Package"="*"}}
Pin-Priority: 39\n\nExplanation: \n	{"Pref"={"Pin-Priority"="39"}}{"Pref"={"Explanation"=""}}
# 2\n\nPackage: *\n\nPin-Priority: 3404\n\nPin: -\n\nPin-Priority: 25\n\nPackage: T\n\nPackage: \n\n# \n	{"Pref"={"#comment"="2"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="3404"}}{"Pref"={"Pin"="-"}}{"Pref"={"Pin-Priority"="25"}}{"Pref"={"Package"="T"}}{"Pref"={"Package"=""}}{"Pref"={"#comment"=""}}
Pin: TX\n	{"Pref"={"Pin"="TX"}}
Pin-Priority: 21\n\n# \n\nPin: z\n\nPin: \n\n# 30q\n	{"Pref"={"Pin-Priority"="21"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"="z"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"="30q"}}
Package: *\n\nPin-Priority: 1824\n\nPin: \n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="1824"}}{"Pref"={"Pin"=""}}
Pin: Flj\n	{"Pref"={"Pin"="Flj"}}
Pin-Priority: 641\n\nPackage: *\n	{"Pref"={"Pin-Priority"="641"}}{"Pref"={"Package"="*"}}
Pin: \n	{"Pref"={"Pin"=""}}
Package: 3u\n	{"Pref"={"Package"="3u"}}
# 'r:\n	{"Pref"={"#comment"="'r:"}}
Pin: \n\nPackage: wY\n	{"Pref"={"Pin"=""}}{"Pref"={"Package"="wY"}}
Pin-Priority: 978567475\n	{"Pref"={"Pin-Priority"="978567475"}}
Pin-Priority: 30\n\n# H/\n\nPin-Priority: 895\n	{"Pref"={"Pin-Priority"="30"}}{"Pref"={"#comment"="H/"}}{"Pref"={"Pin-Priority"="895"}}
# MyM\n\nExplanation: k\n\nPin-Priority: 658\n	{"Pref"={"#comment"="MyM"}}{"Pref"={"Explanation"="k"}}{"Pref"={"Pin-Priority"="658"}}
# 2ZYV\n	{"Pref"={"#comment"="2ZYV"}}
# \n\n# \n	{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}
Pin: :8\n\nPackage: *\n	{"Pref"={"Pin"=":8"}}{"Pref"={"Package"="*"}}
Pin: r.\n\nPackage: \n\nPin: \n\nPin: F\n	{"Pref"={"Pin"="r."}}{"Pref"={"Package"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"="F"}}
Pin: hu2\n\nPin: f\n\nPackage: *\n\n# r8\n	{"Pref"={"Pin"="hu2"}}{"Pref"={"Pin"="f"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"="r8"}}
Package: \n\nPackage: BPv\n	{"Pref"={"Package"=""}}{"Pref"={"Package"="BPv"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
# \n\nPin: \n	{"Pref"={"#comment"=""}}{"Pref"={"Pin"=""}}
Package: ysTl\n\nExplanation: \n\nPin: \n	{"Pref"={"Package"="ysTl"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}
Pin: XRD\n\nPin-Priority: 58511007\n	{"Pref"={"Pin"="XRD"}}{"Pref"={"Pin-Priority"="58511007"}}
Pin: D\n	{"Pref"={"Pin"="D"}}
Pin-Priority: 395579\n\nExplanation:  8\n\n# Xgx\n\nExplanation: Q"B\n	{"Pref"={"Pin-Priority"="395579"}}{"Pref"={"Explanation"=" 8"}}{"Pref"={"#comment"="Xgx"}}{"Pref"={"Explanation"="Q"B"}}
Pin: \n\nPin: XvH'\n\nPin-Priority: 81\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"="XvH'"}}{"Pref"={"Pin-Priority"="81"}}
Pin-Priority: 31\n	{"Pref"={"Pin-Priority"="31"}}
Pin-Priority: 951151\n\nPin-Priority: 12\n\nPackage: o\n	{"Pref"={"Pin-Priority"="951151"}}{"Pref"={"Pin-Priority"="12"}}{"Pref"={"Package"="o"}}
Pin-Priority: 59\n\nPin: \n	{"Pref"={"Pin-Priority"="59"}}{"Pref"={"Pin"=""}}
# \n\nPin: \n\nPin-Priority: 4\n\nPin: \n	{"Pref"={"#comment"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Pin"=""}}
Package: \n\n# +\n	{"Pref"={"Package"=""}}{"Pref"={"#comment"="+"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Explanation: \n\nPin: \n\nPin-Priority: 6\n\nPin-Priority: 832\n\nExplanation: BOY\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="6"}}{"Pref"={"Pin-Priority"="832"}}{"Pref"={"Explanation"="BOY"}}
Pin: pnn\n	{"Pref"={"Pin"="pnn"}}
# TJ\n\nPin-Priority: 06581\n\nPin: 0\n\n# qj\n\nPin-Priority: 61\n\nPin-Priority: 01\n	{"Pref"={"#comment"="TJ"}}{"Pref"={"Pin-Priority"="06581"}}{"Pref"={"Pin"="0"}}{"Pref"={"#comment"="qj"}}{"Pref"={"Pin-Priority"="61"}}{"Pref"={"Pin-Priority"="01"}}
Package: *\n\nPackage: c7\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="c7"}}
Pin-Priority: 19158\n	{"Pref"={"Pin-Priority"="19158"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Explanation: A\n	{"Pref"={"Explanation"="A"}}
Pin: 2BM\n\nPackage: 3\n	{"Pref"={"Pin"="2BM"}}{"Pref"={"Package"="3"}}
Package: C'\n\nPin-Priority: 54\n\nPin-Priority: 4\n	{"Pref"={"Package"="C'"}}{"Pref"={"Pin-Priority"="54"}}{"Pref"={"Pin-Priority"="4"}}
Pin-Priority: 48863\n\nPin-Priority: 78\n	{"Pref"={"Pin-Priority"="48863"}}{"Pref"={"Pin-Priority"="78"}}
Package: 6\n	{"Pref"={"Package"="6"}}
Pin: F\n\nPackage: *\n\nPin-Priority: 81\n	{"Pref"={"Pin"="F"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="81"}}
Pin-Priority: 05\n\n# :NrM\n\nPin: z\n	{"Pref"={"Pin-Priority"="05"}}{"Pref"={"#comment"=":NrM"}}{"Pref"={"Pin"="z"}}
# l\n\n# \n	{"Pref"={"#comment"="l"}}{"Pref"={"#comment"=""}}
Package: \n\nPin: \n	{"Pref"={"Package"=""}}{"Pref"={"Pin"=""}}
# Zb7j6s:sSJ+r\n\nPin: r3\n\n# \n\nPin-Priority: 72\n	{"Pref"={"#comment"="Zb7j6s:sSJ+r"}}{"Pref"={"Pin"="r3"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="72"}}
Package: *\n\nPin-Priority: 39\n\nExplanation: \n\n# nPi0G\n\nPackage: *\n\nPackage: \n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="39"}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="nPi0G"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"=""}}
Pin-Priority: 4\n\nPackage: *\n	{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Package"="*"}}
Package: *\n\nPin: bOn\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"="bOn"}}
Package: \n	{"Pref"={"Package"=""}}
Explanation: =H\n\n# IX\n	{"Pref"={"Explanation"="=H"}}{"Pref"={"#comment"="IX"}}
Pin-Priority: 7\n\nPin-Priority: 8\n	{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Pin-Priority"="8"}}
Pin-Priority: 6\n	{"Pref"={"Pin-Priority"="6"}}
Pin: jugH\n\n# R\n	{"Pref"={"Pin"="jugH"}}{"Pref"={"#comment"="R"}}
Pin: v/\n\n# k\n\nPin: \n	{"Pref"={"Pin"="v/"}}{"Pref"={"#comment"="k"}}{"Pref"={"Pin"=""}}
Pin: A\n\nPackage: *\n	{"Pref"={"Pin"="A"}}{"Pref"={"Package"="*"}}
Explanation: \n\nPin-Priority: 1\n\nPin: \n\nExplanation: 1b5\n\nPackage: *\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="1b5"}}{"Pref"={"Package"="*"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: o2\n	{"Pref"={"Pin"="o2"}}
Package: *\n\nPin: k2g\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"="k2g"}}
Pin-Priority: 59\n	{"Pref"={"Pin-Priority"="59"}}
# J\n	{"Pref"={"#comment"="J"}}
Pin-Priority: 624\n	{"Pref"={"Pin-Priority"="624"}}
Pin: \n\nPin-Priority: 9\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="9"}}
Explanation: \n\nExplanation: :4\n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=":4"}}
Pin-Priority: 4\n	{"Pref"={"Pin-Priority"="4"}}
Package: C\n\nPin: +\n\n# \n	{"Pref"={"Package"="C"}}{"Pref"={"Pin"="+"}}{"Pref"={"#comment"=""}}
Pin: 2g\n\nPin-Priority: 46\n\n# 2\n\nPin-Priority: 19\n	{"Pref"={"Pin"="2g"}}{"Pref"={"Pin-Priority"="46"}}{"Pref"={"#comment"="2"}}{"Pref"={"Pin-Priority"="19"}}
Explanation: xoni4B\n	{"Pref"={"Explanation"="xoni4B"}}
Explanation: kiO\n\nPin: \n	{"Pref"={"Explanation"="kiO"}}{"Pref"={"Pin"=""}}
Package: 1\n	{"Pref"={"Package"="1"}}
Package: \n	{"Pref"={"Package"=""}}
Package: \n	{"Pref"={"Package"=""}}
# EZ\n\nPackage: *\n	{"Pref"={"#comment"="EZ"}}{"Pref"={"Package"="*"}}
Pin: \n\nPin: \n\nPin: Wmr\n\nPackage: v\n\nPin: \n\n# +nWx\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"="Wmr"}}{"Pref"={"Package"="v"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"="+nWx"}}
# kcDe+\n\n# \n\n# v\n\nPackage: \n\nExplanation: D\n\nExplanation: n'\n	{"Pref"={"#comment"="kcDe+"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="v"}}{"Pref"={"Package"=""}}{"Pref"={"Explanation"="D"}}{"Pref"={"Explanation"="n'"}}
Explanation: \n\n# \n\nPackage: \n	{"Pref"={"Explanation"=""}}{"Pref"={"#comment"=""}}{"Pref"={"Package"=""}}
Pin-Priority: 4\n\nPackage: \n	{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Package"=""}}
Pin-Priority: 1\n\nPin: sXl\n	{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Pin"="sXl"}}
Explanation: \n\nPin: +S\n\nPin-Priority: 4\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="+S"}}{"Pref"={"Pin-Priority"="4"}}
